ref,cor,url
013222,01,https://photo.anselmi.ind.br/Fotos/13222_01.jpg
047333,01,https://photo.anselmi.ind.br/Fotos/47333_01.jpg
029422,02,https://photo.anselmi.ind.br/Fotos/29422_02.jpg
047487,02,https://photo.anselmi.ind.br/Fotos/47487_02.jpg
011778,V,https://photo.anselmi.ind.br/Fotos/11778_v.jpg
047405,12,https://photo.anselmi.ind.br/Fotos/47405_12.jpg
034011,08,https://photo.anselmi.ind.br/Fotos/34011_08.jpg
029154,OFF,https://photo.anselmi.ind.br/Fotos/29154_off.jpg
013418,10,https://photo.anselmi.ind.br/Fotos/13418_10.jpg
011834,02,https://photo.anselmi.ind.br/Fotos/11834_02.jpg
017240,01,https://photo.anselmi.ind.br/Fotos/17240_01.jpg
011562,10,https://photo.anselmi.ind.br/Fotos/11562_10.jpg
029009,VERSO,https://photo.anselmi.ind.br/Fotos/29009_verso.jpg
014320,03,https://photo.anselmi.ind.br/Fotos/14320_03.jpg
047354,03,https://photo.anselmi.ind.br/Fotos/47354_03.jpg
013886,01,https://photo.anselmi.ind.br/Fotos/13886_01.jpg
046896,C25,https://photo.anselmi.ind.br/Fotos/46896_c25.jpg
047405,08,https://photo.anselmi.ind.br/Fotos/47405_08.jpg
015021,10,https://photo.anselmi.ind.br/Fotos/15021_10.jpg
029230,AZUL,https://photo.anselmi.ind.br/Fotos/29230_azul.jpg
010334,01,https://photo.anselmi.ind.br/Fotos/10334_01.jpg
011418,C32,https://photo.anselmi.ind.br/Fotos/11418_c32.jpg
015359,C25,https://photo.anselmi.ind.br/Fotos/15359_c25.jpg
028188,PRETO,https://photo.anselmi.ind.br/Fotos/28188_preto.jpg
010360,01,https://photo.anselmi.ind.br/Fotos/10360_01.jpg
047695,10,https://photo.anselmi.ind.br/Fotos/47695_10.jpg
011738,10,https://photo.anselmi.ind.br/Fotos/11738_10.jpg
018961,01,https://photo.anselmi.ind.br/Fotos/18961_01.jpg
015387,C25,https://photo.anselmi.ind.br/Fotos/15387_c25.jpg
012940,E20,https://photo.anselmi.ind.br/Fotos/12940_e20.jpg
046082,01,https://photo.anselmi.ind.br/Fotos/46082_01.jpg
012364,02,https://photo.anselmi.ind.br/Fotos/12364_02.jpg
016873,05,https://photo.anselmi.ind.br/Fotos/16873_05.jpg
011947,E60,https://photo.anselmi.ind.br/Fotos/11947_e60.jpg
011501,03,https://photo.anselmi.ind.br/Fotos/11501_03.jpg
010598,01,https://photo.anselmi.ind.br/Fotos/10598_01.jpg
046979,01,https://photo.anselmi.ind.br/Fotos/46979_01.jpg
018941,C46,https://photo.anselmi.ind.br/Fotos/18941_c46.jpg
012955,01,https://photo.anselmi.ind.br/Fotos/12955_01.jpg
047669,10,https://photo.anselmi.ind.br/Fotos/47669_10.jpg
046003,02,https://photo.anselmi.ind.br/Fotos/46003_02.jpg
026357,1620300413,https://photo.anselmi.ind.br/Fotos/26357_1620300413.jpg
012551,01,https://photo.anselmi.ind.br/Fotos/12551_01.jpg
012881,10,https://photo.anselmi.ind.br/Fotos/12881_10.jpg
018955,01,https://photo.anselmi.ind.br/Fotos/18955_01.jpg
015484,10,https://photo.anselmi.ind.br/Fotos/15484_10.jpg
016133,03,https://photo.anselmi.ind.br/Fotos/16133_03.jpg
010392,01,https://photo.anselmi.ind.br/Fotos/10392_01.jpg
047413,05,https://photo.anselmi.ind.br/Fotos/47413_05.jpg
012232,02,https://photo.anselmi.ind.br/Fotos/12232_02.jpg
012967,D25,https://photo.anselmi.ind.br/Fotos/12967_d25.jpg
047491,01,https://photo.anselmi.ind.br/Fotos/47491_01.jpg
011996,10,https://photo.anselmi.ind.br/Fotos/11996_10.jpg
046239,04,https://photo.anselmi.ind.br/Fotos/46239_04.jpg
029232,LATERAL,https://photo.anselmi.ind.br/Fotos/29232_lateral.jpg
014078,10,https://photo.anselmi.ind.br/Fotos/14078_10.jpg
047490,01,https://photo.anselmi.ind.br/Fotos/47490_01.jpg
047386,01,https://photo.anselmi.ind.br/Fotos/47386_01.jpg
047571,01,https://photo.anselmi.ind.br/Fotos/47571_01.jpg
047370,08,https://photo.anselmi.ind.br/Fotos/47370_08.jpg
015285,01,https://photo.anselmi.ind.br/Fotos/15285_01.jpg
028451,06,https://photo.anselmi.ind.br/Fotos/28451_06.jpg
015042,01,https://photo.anselmi.ind.br/Fotos/15042_01.jpg
012526,E34,https://photo.anselmi.ind.br/Fotos/12526_e34.jpg
011463,10,https://photo.anselmi.ind.br/Fotos/11463_10.jpg
015693,02,https://photo.anselmi.ind.br/Fotos/15693_02.jpg
029018,02,https://photo.anselmi.ind.br/Fotos/29018_02.jpg
010438,01,https://photo.anselmi.ind.br/Fotos/10438_01.jpg
010424,01,https://photo.anselmi.ind.br/Fotos/10424_01.jpg
010716,10,https://photo.anselmi.ind.br/Fotos/10716_10.jpg
027065,02,https://photo.anselmi.ind.br/Fotos/27065_02.jpg
047383,05,https://photo.anselmi.ind.br/Fotos/47383_05.jpg
046490,10,https://photo.anselmi.ind.br/Fotos/46490_10.jpg
011796,01,https://photo.anselmi.ind.br/Fotos/11796_01.jpg
015048,C25,https://photo.anselmi.ind.br/Fotos/15048_c25.jpg
028132,1590607609,https://photo.anselmi.ind.br/Fotos/28132_1590607609.jpg
046239,02,https://photo.anselmi.ind.br/Fotos/46239_02.jpg
012413,10,https://photo.anselmi.ind.br/Fotos/12413_10.jpg
017442,B79,https://photo.anselmi.ind.br/Fotos/17442_b79.jpg
012434,03,https://photo.anselmi.ind.br/Fotos/12434_03.jpg
046362,10,https://photo.anselmi.ind.br/Fotos/46362_10.jpg
047206,01,https://photo.anselmi.ind.br/Fotos/47206_01.jpg
047451,02,https://photo.anselmi.ind.br/Fotos/47451_02.jpg
047396,04,https://photo.anselmi.ind.br/Fotos/47396_04.jpg
028976,2,https://photo.anselmi.ind.br/Fotos/28976_2.jpg
047457,07,https://photo.anselmi.ind.br/Fotos/47457_07.jpg
013222,02,https://photo.anselmi.ind.br/Fotos/13222_02.jpg
012956,C25,https://photo.anselmi.ind.br/Fotos/12956_c25.jpg
010591,01,https://photo.anselmi.ind.br/Fotos/10591_01.jpg
046623,01,https://photo.anselmi.ind.br/Fotos/46623_01.jpg
012617,01,https://photo.anselmi.ind.br/Fotos/12617_01.jpg
015388,01,https://photo.anselmi.ind.br/Fotos/15388_01.jpg
045892,10,https://photo.anselmi.ind.br/Fotos/45892_10.jpg
