url,ref,cor,status,error
https://photo.anselmi.ind.br/cache/Fotos/820_01_1024.jpg,000820,IND01,404,
https://photo.anselmi.ind.br/cache/Fotos/818_01_1024.jpg,000818,IND01,404,
https://photo.anselmi.ind.br/cache/Fotos/821_01_1024.jpg,000821,IND01,404,
https://photo.anselmi.ind.br/cache/Fotos/825_01_1024.jpg,000825,IND01,404,
https://photo.anselmi.ind.br/cache/Fotos/828_01_1024.jpg,000828,001,404,
https://photo.anselmi.ind.br/cache/Fotos/830_01_1024.jpg,000830,001,404,
https://photo.anselmi.ind.br/cache/Fotos/829_01_1024.jpg,000829,001,404,
https://photo.anselmi.ind.br/cache/Fotos/851_01_1024.jpg,000851,IND01,404,
https://photo.anselmi.ind.br/cache/Fotos/835_01_1024.jpg,000835,IND01,404,
https://photo.anselmi.ind.br/cache/Fotos/832_01_1024.jpg,000832,IND01,404,
https://photo.anselmi.ind.br/cache/Fotos/854_01_1024.jpg,000854,IND01,404,
https://photo.anselmi.ind.br/cache/Fotos/850_01_1024.jpg,000850,IND01,404,
https://photo.anselmi.ind.br/cache/Fotos/834_01_1024.jpg,000834,IND01,404,
https://photo.anselmi.ind.br/cache/Fotos/833_01_1024.jpg,000833,IND01,404,
https://photo.anselmi.ind.br/cache/Fotos/842_01_1024.jpg,000842,001,404,
https://photo.anselmi.ind.br/cache/Fotos/837_01_1024.jpg,000837,IND01,404,
https://photo.anselmi.ind.br/cache/Fotos/856_01_1024.jpg,000856,001,404,
https://photo.anselmi.ind.br/cache/Fotos/859_01_1024.jpg,000859,IND01,404,
https://photo.anselmi.ind.br/cache/Fotos/863_01_1024.jpg,000863,001,404,
https://photo.anselmi.ind.br/cache/Fotos/868_01_1024.jpg,000868,IND01,404,
https://photo.anselmi.ind.br/cache/Fotos/867_01_1024.jpg,000867,IND01,404,
https://photo.anselmi.ind.br/cache/Fotos/534_01_1024.jpg,000534,001,404,
https://photo.anselmi.ind.br/cache/Fotos/536_01_1024.jpg,000536,001,404,
https://photo.anselmi.ind.br/cache/Fotos/870_01_1024.jpg,000870,001,404,
https://photo.anselmi.ind.br/cache/Fotos/805_01_1024.jpg,000805,IND01,404,
https://photo.anselmi.ind.br/cache/Fotos/811_01_1024.jpg,000811,IND01,404,
https://photo.anselmi.ind.br/cache/Fotos/801_01_1024.jpg,000801,001,404,
https://photo.anselmi.ind.br/cache/Fotos/802_01_1024.jpg,000802,001,404,
https://photo.anselmi.ind.br/cache/Fotos/813_01_1024.jpg,000813,001,404,
https://photo.anselmi.ind.br/cache/Fotos/541_01_1024.jpg,000541,IND01,404,
https://photo.anselmi.ind.br/cache/Fotos/570_01_1024.jpg,000570,IND01,404,
https://photo.anselmi.ind.br/cache/Fotos/538_01_1024.jpg,000538,IND01,404,
https://photo.anselmi.ind.br/cache/Fotos/612_01_1024.jpg,000612,001,404,
https://photo.anselmi.ind.br/cache/Fotos/611_01_1024.jpg,000611,001,404,
https://photo.anselmi.ind.br/cache/Fotos/540_01_1024.jpg,000540,001,404,
https://photo.anselmi.ind.br/cache/Fotos/814_01_1024.jpg,000814,IND01,404,
https://photo.anselmi.ind.br/cache/Fotos/543_01_1024.jpg,000543,IND01,404,
https://photo.anselmi.ind.br/cache/Fotos/610_01_1024.jpg,000610,001,404,
https://photo.anselmi.ind.br/cache/Fotos/537_01_1024.jpg,000537,IND01,404,
https://photo.anselmi.ind.br/cache/Fotos/550_01_1024.jpg,000550,001,404,
https://photo.anselmi.ind.br/cache/Fotos/622_01_1024.jpg,000622,001,404,
https://photo.anselmi.ind.br/cache/Fotos/623_01_1024.jpg,000623,001,404,
https://photo.anselmi.ind.br/cache/Fotos/630_01_1024.jpg,000630,001,404,
https://photo.anselmi.ind.br/cache/Fotos/614_01_1024.jpg,000614,IND01,404,
https://photo.anselmi.ind.br/cache/Fotos/624_01_1024.jpg,000624,IND01,404,
https://photo.anselmi.ind.br/cache/Fotos/632_01_1024.jpg,000632,001,404,
https://photo.anselmi.ind.br/cache/Fotos/649_01_1024.jpg,000649,001,404,
https://photo.anselmi.ind.br/cache/Fotos/876_01_1024.jpg,000876,IND01,404,
https://photo.anselmi.ind.br/cache/Fotos/662_01_1024.jpg,000662,001,404,
https://photo.anselmi.ind.br/cache/Fotos/635_01_1024.jpg,000635,001,404,
https://photo.anselmi.ind.br/cache/Fotos/633_01_1024.jpg,000633,001,404,
https://photo.anselmi.ind.br/cache/Fotos/882_01_1024.jpg,000882,001,404,
https://photo.anselmi.ind.br/cache/Fotos/648_01_1024.jpg,000648,001,404,
https://photo.anselmi.ind.br/cache/Fotos/706_01_1024.jpg,000706,001,404,
https://photo.anselmi.ind.br/cache/Fotos/703_01_1024.jpg,000703,001,404,
https://photo.anselmi.ind.br/cache/Fotos/645_01_1024.jpg,000645,001,404,
https://photo.anselmi.ind.br/cache/Fotos/693_01_1024.jpg,000693,001,404,
https://photo.anselmi.ind.br/cache/Fotos/701_01_1024.jpg,000701,IND123,404,
https://photo.anselmi.ind.br/cache/Fotos/704_01_1024.jpg,000704,001,404,
https://photo.anselmi.ind.br/cache/Fotos/707_01_1024.jpg,000707,001,404,
https://photo.anselmi.ind.br/cache/Fotos/722_01_1024.jpg,000722,001,404,
https://photo.anselmi.ind.br/cache/Fotos/665_01_1024.jpg,000665,001,404,
https://photo.anselmi.ind.br/cache/Fotos/734_01_1024.jpg,000734,IND01,404,
https://photo.anselmi.ind.br/cache/Fotos/708_01_1024.jpg,000708,001,404,
https://photo.anselmi.ind.br/cache/Fotos/738_01_1024.jpg,000738,IND01,404,
https://photo.anselmi.ind.br/cache/Fotos/736_01_1024.jpg,000736,IND01,404,
https://photo.anselmi.ind.br/cache/Fotos/719_01_1024.jpg,000719,001,404,
https://photo.anselmi.ind.br/cache/Fotos/747_01_1024.jpg,000747,001,404,
https://photo.anselmi.ind.br/cache/Fotos/743_01_1024.jpg,000743,001,404,
https://photo.anselmi.ind.br/cache/Fotos/748_01_1024.jpg,000748,001,404,
https://photo.anselmi.ind.br/cache/Fotos/735_01_1024.jpg,000735,IND01,404,
https://photo.anselmi.ind.br/cache/Fotos/739_01_1024.jpg,000739,001,404,
https://photo.anselmi.ind.br/cache/Fotos/749_01_1024.jpg,000749,001,404,
https://photo.anselmi.ind.br/cache/Fotos/32395_02_1024.jpg,032395,002,404,
https://photo.anselmi.ind.br/cache/Fotos/14418_01_1024.jpg,014418,001,404,
https://photo.anselmi.ind.br/cache/Fotos/32302_01_1024.jpg,032302,001,404,
https://photo.anselmi.ind.br/cache/Fotos/25079_02_1024.jpg,025079,002,404,
https://photo.anselmi.ind.br/cache/Fotos/761_01_1024.jpg,000761,001,404,
https://photo.anselmi.ind.br/cache/Fotos/763_01_1024.jpg,000763,001,404,
https://photo.anselmi.ind.br/cache/Fotos/756_01_1024.jpg,000756,001,404,
https://photo.anselmi.ind.br/cache/Fotos/755_01_1024.jpg,000755,001,404,
